SeccionCensal;F-of-M
4317101001;13,50Ê%
2816102010;13,51Ê%
2906801006;13,53Ê%
0608304013;13,53Ê%
3003005042;13,54Ê%
4310901001;13,54Ê%
3108801001;13,54Ê%
4625019012;13,57Ê%
4100403011;13,57Ê%
4109111001;13,58Ê%
3001606012;13,58Ê%
4519901001;13,59Ê%
4609401013;13,59Ê%
4718610055;13,60Ê%
3003801012;13,60Ê%
1103205008;13,61Ê%
0200307008;13,61Ê%
1503010005;13,63Ê%
1802201006;13,64Ê%
0812102007;13,65Ê%
0705402001;13,65Ê%
4702301003;13,65Ê%
0830101016;13,66Ê%
4802703002;13,68Ê%
4802005030;13,69Ê%
2906708040;13,70Ê%
3108801004;13,70Ê%
3003004053;13,71Ê%
0902301001;13,71Ê%
2816101010;13,72Ê%
1102006035;13,72Ê%
4600502001;13,73Ê%
0407902029;13,74Ê%
2808301003;13,75Ê%
1102006046;13,75Ê%
2905403006;13,75Ê%
4100404016;13,76Ê%
4804601009;13,76Ê%
2814803008;13,77Ê%
2807908128;13,77Ê%
4621402005;13,79Ê%
2801303010;13,80Ê%
1203203006;13,80Ê%
1200903001;13,81Ê%
2408907005;13,81Ê%
1103001006;13,81Ê%
4106804003;13,82Ê%
2804003001;13,83Ê%
0810102001;13,83Ê%
3501605009;13,83Ê%
0704802004;13,83Ê%
0704601005;13,83Ê%
0702401001;13,83Ê%
2813401044;13,84Ê%
2106001009;13,85Ê%
4106904003;13,86Ê%
0401307018;13,87Ê%
4101701012;13,87Ê%
4803604001;13,87Ê%
2808601001;13,88Ê%
3102301004;13,88Ê%
2901503007;13,89Ê%
4103804017;13,89Ê%
4109502003;13,89Ê%
1922001002;13,90Ê%
1102804009;13,90Ê%
0312201015;13,91Ê%
4003101001;13,91Ê%
0830504005;13,91Ê%
3000701006;13,92Ê%
0704004046;13,93Ê%
3003901004;13,93Ê%
5021901001;13,94Ê%
4608302003;13,94Ê%
2616801003;13,94Ê%
1904601010;13,95Ê%
4109104070;13,96Ê%
2422202004;13,96Ê%
3803812007;13,96Ê%
3120106016;13,96Ê%
0407902024;13,96Ê%
5029801003;13,97Ê%
2006903032;13,97Ê%
0703602003;13,97Ê%
2990101043;13,99Ê%
4801308001;13,99Ê%
0490201009;14,00Ê%
4109110009;14,00Ê%
3090101011;14,01Ê%
0830101014;14,01Ê%
4613102011;14,01Ê%
2903801005;14,01Ê%
3727404024;14,01Ê%
2807901034;14,01Ê%
3302001001;14,01Ê%
0301406025;14,01Ê%
1303403005;14,02Ê%
1808703044;14,02Ê%
4109503006;14,02Ê%
3302409017;14,02Ê%
4611701001;14,03Ê%
1101403004;14,03Ê%
3003004012;14,03Ê%
2807902101;14,04Ê%
1100401025;14,04Ê%
4718610053;14,04Ê%
2807902099;14,05Ê%
3502602011;14,05Ê%
4616501007;14,05Ê%
