CUSEC;COD_POSTAL;yieldPisos;yieldCasas
0207401001;02500;++;=
0207402001;02500;++;=
0207402002;02500;++;=
0207403001;02500;++;=
0207404001;02512;++;++
0207501001;02150;=;--
0207502001;02150;=;--
0207601001;02315;=;++
0207701001;02214;++;++
0207801001;02636;++;++
0207901001;02270;=;++
0207902001;02270;=;++
0208001001;02350;+;=
0208101001;02600;=;-
0208101002;02600;=;-
0208101003;02600;=;-
0208102001;02600;=;-
0208102002;02600;=;-
0208102003;02600;=;-
0208102004;02600;=;-
0208103001;02600;=;-
0208103002;02600;=;-
0208103003;02600;=;-
0208103004;02600;=;-
0208104001;02600;=;-
0208104002;02600;=;-
0208104003;02600;=;-
0208104004;02600;=;-
0208201001;02215;++;++
0208301001;02154;++;--
0208401001;02460;++;++
0208501001;02310;=;++
0208601001;02485;--;++
0208601003;02485;--;++
0290101001;02510;--;--
0290101002;02510;--;--
0300101001;03786;++;--
0300201001;03698;++;+
0300201002;03698;++;+
0300201003;03698;++;+
0300301001;03837;++;--
0300401001;03569;++;=
0300501001;03340;++;-
0300501002;03340;++;-
0300501003;03340;++;-
0300501004;03340;++;-
0300502001;03340;++;-
0300502002;03340;++;-
0300502003;03340;++;-
0300601001;03728;++;++
0300701001;03841;++;+
0300801001;03814;++;--
0300901001;03801;=;+
0300901003;03801;=;+
0300901004;03801;=;+
0300901006;03801;=;+
0300902001;03801;=;+
0300902002;03801;=;+
0300902003;03801;=;+
0300902004;03801;=;+
0300902005;03801;=;+
0300902007;03801;=;+
0300903001;03802;=;=
0300903002;03802;=;=
0300903003;03802;=;=
0300903004;03802;=;=
0300903005;03802;=;=
0300903006;03802;=;=
0300904001;03802;=;=
0300904002;03802;=;=
0300904003;03802;=;=
0300904004;03802;=;=
0300904005;03802;=;=
0300904006;03802;=;=
0300904007;03802;=;=
0300904008;03802;=;=
0300905001;03803;=;+
0300905002;03803;=;+
0300905003;03803;=;+
0300905004;03803;=;+
0300905005;03803;=;+
0300905006;03803;=;+
0300906001;03803;=;+
0300906002;03803;=;+
0300906003;03803;=;+
0300906004;03803;=;+
0300906005;03803;=;+
0300907001;03804;-;--
0300907002;03804;-;--
0300907003;03804;-;--
0300907005;03804;-;--
0300907007;03804;-;--
0300907008;03804;-;--
0300908001;03804;-;--
0300908002;03804;-;--
0300908003;03804;-;--
0300908004;03804;-;--
0300908005;03804;-;--
0300908006;03804;-;--
0300908007;03804;-;--
0301001001;03838;=;++
0301101001;03580;=;+
0301101002;03580;=;+
0301101003;03580;=;+
0301101004;03580;=;+
0301101005;03580;=;+
0301101006;03580;=;+
0301101007;03580;=;+
0301101008;03580;=;+
0301201001;03169;=;+
0301301001;03668;--;-
0301401001;03003;=;++
0301401002;03003;=;++
0301401003;03003;=;++
0301401004;03003;=;++
0301401005;03003;=;++
0301401006;03003;=;++
0301401007;03003;=;++
0301401008;03003;=;++
0301401009;03003;=;++
0301401010;03003;=;++
0301401011;03003;=;++
0301401012;03003;=;++
0301401013;03003;=;++
0301401014;03003;=;++
0301401015;03003;=;++
0301401017;03003;=;++
0301401018;03003;=;++
0301401019;03003;=;++
0301401020;03003;=;++
0301401021;03003;=;++
0301401022;03003;=;++
0301401023;03003;=;++
0301401026;03003;=;++
0301402001;03005;=;=
0301402002;03005;=;=
0301402003;03005;=;=
0301402005;03005;=;=
0301402006;03005;=;=
0301402008;03005;=;=
0301402009;03005;=;=
0301402010;03005;=;=
0301402011;03005;=;=
0301402012;03005;=;=
0301402013;03005;=;=
0301402014;03005;=;=
0301402016;03005;=;=
0301402017;03005;=;=
0301402018;03005;=;=
0301402019;03005;=;=
0301402020;03005;=;=
0301402021;03005;=;=
0301402022;03005;=;=
0301402023;03005;=;=
0301402024;03005;=;=
0301402025;03005;=;=
0301402026;03005;=;=
0301402028;03005;=;=
0301402029;03005;=;=
0301402030;03005;=;=
0301402032;03005;=;=
0301402033;03005;=;=
0301403001;03013;+;+
0301403002;03013;+;+
0301403003;03013;+;+
0301403004;03013;+;+
0301403005;03013;+;+
0301403006;03013;+;+
0301403007;03013;+;+
0301403008;03013;+;+
0301403009;03013;+;+
0301403010;03013;+;+
0301403011;03013;+;+
0301403012;03013;+;+
0301403013;03013;+;+
0301403014;03013;+;+
0301403015;03013;+;+
0301403016;03013;+;+
0301403017;03013;+;+
0301403018;03013;+;+
0301403019;03013;+;+
0301403020;03013;+;+
0301403021;03013;+;+
0301403022;03013;+;+
0301403023;03013;+;+
0301403024;03013;+;+
0301403025;03013;+;+
0301403026;03013;+;+
0301403027;03013;+;+
