SeccionCensal;longitud;latitud
0200304013;-1.876191;38.991038
0200304014;-1.86258831;38.98986394
0200305001;-1.859131;38.993183
0200305002;-1.860833;38.99071
0200305003;-1.860187;38.989402
0200305004;-1.863566;38.98962
0200305005;-1.861718;38.98857
0200305006;-1.864412;38.987963
0200305007;-1.862986;38.986501
0200305008;-1.865252;38.986772
0200305009;-1.866566;38.985281
0200305010;-1.859868;38.992299
0200305011;-1.862013;38.991351
0200305012;-1.862475;38.988999
0200305013;-1.870839;38.980195
0200306001;-1.856057;38.992559
0200306002;-1.854652;38.989752
0200306003;-1.858107;38.9897
0200306004;-1.85972;38.987904
0200306005;-1.857569;38.987174
0200306006;-1.861763;38.985272
0200306007;-1.853527;38.985093
0200306008;-1.858333;38.979799
0200306009;-1.856913;38.991135
0200306010;-1.85502;38.984798
0200306011;-1.856959;38.984958
0200306012;-1.859219;38.984569
0200306013;-1.856967;38.983649
0200306014;-1.857311;38.982206
0200307001;-1.850016;38.99159
0200307002;-1.850172;38.989082
0200307003;-1.852548;38.989928
0200307004;-1.852337;38.988226
0200307005;-1.850173;38.985176
0200307006;-1.847754;38.990144
0200307007;-1.841456;38.991345
0200307008;-1.844299;38.984373
0200307009;-1.849954;38.980686
0200307010;-1.845774;38.987433
0200307011;-1.843466;38.990016
0200307013;-1.851902;38.986511
0200307014;-1.84865;38.973903
0200307015;-1.845902;38.989294
0200307016;-1.852843;38.99201
0200307017;-1.84123;38.978953
0200308001;-1.870175;38.983461
0200308002;-2.004946;38.900107
0200308003;-1.879921;38.833182
0200308006;-1.927476;38.91719
0200401001;-1.515862;38.576168
0200501001;-1.385923;39.291897
0200601001;-2.056677;38.662482
0200701001;-1.402806;39.185715
0200801001;-2.60022;38.700242
0200801002;-2.422235;38.748415
0200901001;-1.101111;38.868807
0200901002;-1.099367;38.869868
0200902001;-1.096412;38.870653
0200902002;-1.091699;38.872081
0200902003;-1.097219;38.874925
0200903001;-1.095492;38.867606
0200903002;-1.095767;38.866362
0200903003;-1.097678;38.866527
0200903004;-1.091803;38.865754
0200903005;-1.092352;38.868351
0200903006;-1.094913;38.864477
0200903007;-1.092318;38.863253
0200903008;-1.088349;38.864435
0200903009;-1.088323;38.859921
0200904001;-1.102633;38.867412
0200904002;-1.108231;38.874948
0200904003;-1.09424;38.862121
0200904004;-1.090376;38.841165
0201001001;-1.208988;38.943371
0201002001;-1.289114;38.999632
0201101001;-2.104912;38.564985
0201201001;-2.12949;38.873164
0201201002;-2.144235;38.898223
0201301001;-1.210081;39.261881
0201401001;-2.475759;38.844424
0201501001;-2.204852;39.033052
0201601001;-2.647561;38.530103
0201701001;-2.234434;38.583491
0201801001;-1.308633;38.888179
0201901001;-2.661106;38.923888
0201901002;-2.501407;38.969583
0201901003;-2.555994;38.901858
0202001001;-1.288194;39.106206
0202101001;-1.574882;39.097268
0202201001;-2.228984;38.755784
0202301001;-1.300929;39.249179
0202401001;-1.47589;39.287677
0202401002;-1.464427;39.264598
0202402001;-1.457013;39.326381
0202501001;-1.010123;38.708175
0202501002;-0.983788;38.708712
0202501003;-0.982585;38.706489
0202501004;-0.992151;38.706213
0202501005;-0.994632;38.702195
0202501006;-0.984998;38.70527
0202501007;-0.982118;38.70311
0202601001;-1.660521;39.298196
0202701001;-1.440531;38.811213
0202801001;-2.501174;38.422889
0202901001;-1.705632;38.851789
0202902001;-1.620429;38.881674
0203001001;-2.052177;38.452219
0203002001;-2.095643;38.454634
